GEOID20,avgPrem2022,nonRenewRate,nonPayRate,claimSeverity,claimFrequency,lossRatio
"50001",1785,0.3,1.4,10049,6,30
"50002",1846,0.5,1.1,15365,8,114
"50003",1843,0.9,1.5,15968,6,47
"50005",1590,2.9,3.5,18246,8,93
"50006",1706,0.7,1.7,11311,5,29
"50007",1710,0,1,16018,19,128
"50008",1673,0.3,2.4,6395,6,34
"50009",1503,1.1,1.1,12580,17,156
"50010",1500,0.9,1.2,13349,9,68
"50014",1721,0.7,0.9,17513,11,106
"50020",1569,1.2,1.1,8662,12,58
"50021",1586,1.5,1.2,13816,10,84
"50022",1511,0.7,2.3,10818,9,64
"50023",1540,1.3,1,12526,10,75
"50025",1726,1.2,1.9,12024,4,26
"50028",1687,0.6,2.5,19104,23,228
"50035",1557,1.4,1,13434,12,103
"50036",1685,1.1,1.5,15696,8,72
"50044",1531,1,3.2,6107,2,9
"50046",1822,2.5,1.2,22645,24,239
"50047",1501,1,2,15304,7,65
"50048",1841,1.7,2.6,12214,6,43
"50049",1538,0.4,1.4,15568,9,71
"50050",1668,1.9,1.9,54923,6,107
"50054",1616,1,2.8,16981,12,101
"50055",1702,0.6,2.2,23805,17,158
"50056",1629,1.5,1.1,14274,14,120
"50058",1661,0.6,1.5,10391,9,56
"50060",1829,0.5,2,11175,4,28
"50061",2428,0.9,1.2,19723,10,83
"50062",1647,0.9,1.9,7622,8,41
"50063",1820,0.3,1.2,19925,9,90
"50069",1643,1.5,0.8,12389,5,39
"50070",1848,1,1.9,15347,6,56
"50072",1778,1.8,1.3,29490,6,92
"50073",1646,1.9,1.4,14567,15,116
"50074",2122,1,1.1,11118,6,28
"50075",1682,1.3,0.9,11599,4,24
"50076",1620,0.6,1.7,21172,6,85
"50105",1562,1.2,1.4,13069,10,80
"50106",1668,1.2,1.6,18213,12,148
"50107",1688,2.1,1.6,8992,6,41
"50109",1677,0.8,1.5,13358,17,134
"50111",1552,1.4,1.3,15045,15,156
"50112",1636,0.9,1.8,21316,13,113
"50115",1688,1.2,1.3,15406,5,55
"50118",1352,0.6,0.9,8827,5,25
"50122",2174,1.4,1.1,18769,6,36
"50123",1457,0.9,1.2,17371,5,53
"50124",1578,1.5,1.3,16829,29,247
"50125",1607,0.7,1.2,14356,8,68
"50126",1514,0.6,2.9,15865,5,49
"50129",1644,1.1,1.3,10797,7,49
"50130",1576,1,1.8,20102,5,66
"50131",1822,1.4,1.1,17926,16,164
"50134",1866,1,1.1,19677,15,170
"50135",1657,1.9,3.2,14926,18,162
"50138",1518,0.7,1.1,14893,7,68
"50139",1647,0.9,2,21588,12,138
"50140",1731,1.2,2.6,36975,5,93
"50141",1616,0,2,21167,9,97
"50142",1439,1.1,1.6,15566,18,188
"50143",1519,0,0.6,19002,4,42
"50144",1586,1,1,37494,3,62
"50146",2180,1.4,1.8,10397,6,52
"50149",1756,1.2,3.2,12476,12,89
"50150",1565,1.5,1.3,26199,4,82
"50151",1845,1,1,30191,6,116
"50153",1780,1.2,2.3,13242,4,34
"50154",1631,0.6,1.5,9698,24,178
"50156",1661,0.8,2.3,15828,23,220
"50157",1517,3.6,2,8170,12,79
"50158",1498,1.4,2.3,22995,27,331
"50160",1361,1.3,1.3,8505,5,29
"50161",1751,2.8,1.2,15035,14,111
"50162",1669,0.4,1.4,12072,13,89
"50163",1484,1,3.6,10310,6,40
"50164",1703,1.9,2.9,47679,5,82
"50166",1540,0.6,1.2,12376,6,47
"50167",1615,0.7,1.9,13151,7,53
"50168",1641,0.6,1.7,19066,21,238
"50169",1647,1.8,0.9,15058,15,154
"50170",1607,0.4,2.6,9726,4,22
"50171",1720,0.9,1.8,14582,7,50
"50173",1490,1.7,3,19433,20,285
"50174",1620,1.9,2.4,17347,6,44
"50201",1507,0.7,1.6,14037,17,142
"50207",1599,1.7,2.3,12328,5,37
"50208",1478,1.1,2.9,15239,15,132
"50210",1821,1.2,1.4,26746,14,148
"50211",1594,1,1.2,15424,9,87
"50212",1678,1.3,1.3,16420,25,292
"50213",1651,1.2,2.4,14187,9,68
"50214",2020,1,2.3,72810,5,79
"50216",2194,0.8,1.3,14306,6,39
"50219",1602,0.3,1.4,15617,5,48
"50220",1585,1,2.3,15939,11,83
"50222",1695,1.1,2.4,61026,5,186
"50225",1518,0.9,1.8,12014,6,47
"50226",1684,1,1,14304,10,77
"50228",1662,1.3,2.3,32464,5,103
"50229",1978,0.6,1.6,21668,6,66
"50230",1620,0.9,0.6,8957,5,35
"50232",1835,0.6,2,15940,5,52
"50233",1609,0.9,2.6,9486,5,30
"50234",1844,1.4,1.5,23174,25,288
"50236",1569,1.6,0.9,13186,16,111
"50237",1903,0.8,1.3,22334,10,181
"50238",1579,0.5,1.9,9683,5,43
"50240",1827,0.3,1.5,35540,5,85
"50244",1572,1.4,1,16373,24,245
"50246",1721,1,1.4,163098,10,216
"50247",1781,1.4,3.2,14047,13,98
