geoid,med_rent,moe,cty_med_rent,pct_med_rent,month_filings,month_rate,pct_white,pct_black,pct_latinx
55079007000,859,41,873.5,98.3,80,8.4,9.1,84.5,3.9
55079003300,814,42,873.5,93.2,122,13,9,80.4,3.3
55079006100,920,84,873.5,105.3,60,14,8.9,77.3,8.6
55079006400,789,63,873.5,90.3,65,16.2,6.5,93.5,0
55079014800,707,53,873.5,80.9,105,12.8,36.3,42.1,7.8
55079186400,754,165,873.5,86.3,5,1.7,57.7,22.7,15.5
55079000201,904,63,873.5,103.5,346,22.2,20.9,59.6,18.1
55079185600,689,75,873.5,78.9,54,10.6,10.2,86.4,3.3
55079013700,683,34,873.5,78.2,109,16.9,10.7,75.8,5.6
55079035100,1875,270,873.5,214.7,0,0,100,0,0
55079091100,1105,71,873.5,126.5,4,1.7,84,10.1,5.9
55079080300,1022,276,873.5,117,1,0.4,94.6,0,2.7
55079021500,950,258,873.5,108.8,3,2.3,84.2,15.8,0
55079005000,885,44,873.5,101.3,77,6.6,8.5,89.9,0
55079005400,879,83,873.5,100.6,549,83.9,58.3,35.9,5.2
55079013500,604,34,873.5,69.1,219,22.7,13.7,73.9,7.8
55079005500,912,116,873.5,104.4,11,3.3,33.5,58.9,2.1
55079021400,810,37,873.5,92.7,72,7,40.8,15.7,35.9
55079187200,1094,95,873.5,125.2,5,2.8,77.8,0,22.2
55079009600,795,44,873.5,91,50,10.4,5.8,74.8,8.3
55079008700,814,220,873.5,93.2,35,13,0,100,0
55079140100,1302,99,873.5,149.1,1,0.2,92.9,0,0
55079002900,999,79,873.5,114.4,58,12.1,5,71.4,16.3
55079090200,1172,149,873.5,134.2,6,8,49.3,33.3,9.3
55079020100,785,18,873.5,89.9,8,0.9,40.2,12.8,42.7
55079150303,1183,110,873.5,135.4,1,0.2,96.7,0,3.3
55079018600,796,48,873.5,91.1,21,4.6,19.9,8.5,58.3
55079001500,829,74,873.5,94.9,176,30.3,11.4,74,6.9
55079185900,770,38,873.5,88.2,17,14.7,0,88.8,7.8
55079012900,863,62,873.5,98.8,20,3.6,67.1,7.6,17
55079100100,925,31,873.5,105.9,26,3.3,58.1,11.5,24.1
55079170300,770,55,873.5,88.2,4,1,79.3,6.2,8
55079170500,801,148,873.5,91.7,9,1.8,85.1,2.7,8.6
55079016200,827,83,873.5,94.7,28,4.7,23.8,3.7,66
55079001900,921,172,873.5,105.4,73,11.2,7.8,88.5,0
55079120102,1278,80,873.5,146.3,7,1.1,93.4,1.9,4.7
55079007900,861,48,873.5,98.6,8,1.3,82.4,5.4,9.3
55079020500,834,42,873.5,95.5,9,1.9,33.3,0,64.2
55079060102,780,310,873.5,89.3,4,2.7,47.6,52.4,5.4
55079001300,916,52,873.5,104.9,111,15.2,11.1,80.3,1.8
55079009700,834,215,873.5,95.5,39,16,0,48.8,6.6
55079016800,753,30,873.5,86.2,62,9.7,4.7,17.7,76.9
55079003600,949,82,873.5,108.6,45,9.7,0,97.4,4.3
55079005200,771,63,873.5,88.3,8,3.2,7.3,77.8,10.9
55079017100,781,47,873.5,89.4,6,1.5,9.7,4.4,84.7
55079016000,775,24,873.5,88.7,43,7.1,32.9,16,42.5
55079140201,941,67,873.5,107.7,8,1,93.3,2.1,2
55079014300,866,31,873.5,99.1,24,1.9,74.3,5.8,8.6
55079017300,847,118,873.5,97,33,6.7,12.4,10.4,72.7
55079100200,997,97,873.5,114.1,61,4.5,60.7,16.8,14
55079100500,775,51,873.5,88.7,32,3.4,60.4,10.3,18.6
55079030100,1331,97,873.5,152.4,4,0.9,69.5,10.5,2.5
55079101000,988,95,873.5,113.1,78,5.5,67.7,22.5,2.3
55079019600,731,48,873.5,83.7,7,0.9,78.8,3.9,11.7
55079008100,652,222,873.5,74.6,32,8.7,15.3,72.1,12.6
55079006200,827,34,873.5,94.7,93,14.7,0,98.6,0
55079014600,671,46,873.5,76.8,68,8.1,41.3,35.7,4.7
55079014900,631,32,873.5,72.2,79,11.7,33.2,43.6,17.9
55079006900,899,43,873.5,102.9,83,14.4,4.5,83.2,5
55079009800,766,118,873.5,87.7,39,10.7,0,83.7,3
55079019300,1131,161,873.5,129.5,7,4.2,84.3,9,6.6
55079001600,1008,98,873.5,115.4,158,23.2,7.3,88,4.7
55079013600,613,49,873.5,70.2,140,13.7,9.3,83.2,5.2
55079000900,865,111,873.5,99,154,18.8,6.4,77.5,9.8
55079130100,1122,95,873.5,128.4,27,2.8,87.5,0,4
55079100600,715,79,873.5,81.9,4,1.7,92.5,0,2.1
55079008600,933,62,873.5,106.8,41,17.1,0,100,0
55079130200,1169,99,873.5,133.8,1,0.2,92.3,1.6,0
55079170600,766,44,873.5,87.7,29,3.3,71.6,9.1,9
55079100700,914,390,873.5,104.6,9,4.1,62.8,0,37.2
55079020200,893,55,873.5,102.2,3,1,30.2,0,45.1
55079180200,841,107,873.5,96.3,34,3.7,73.6,6.9,20.9
55079004800,802,53,873.5,91.8,110,12.5,0.9,96.6,2.5
55079007700,915,44,873.5,104.8,25,1.5,76.4,6.9,7.4
55079101400,789,66,873.5,90.3,14,1.5,68.3,10.1,15.9
55079005700,944,110,873.5,108.1,22,8,31.9,52.5,14.9
55079011400,1239,124,873.5,141.8,19,3.2,69.3,23.3,5.2
55079012200,797,128,873.5,91.2,47,11.5,3.7,53.1,2.7
55079050101,855,63,873.5,97.9,26,8.9,28.9,71.1,0
55079012700,1146,92,873.5,131.2,2,1.1,90.2,4.3,7.6
55079021100,1047,190,873.5,119.9,2,1.1,70.2,0,29.8
55079018400,969,79,873.5,110.9,6,2.1,86.9,0,13.1
55079011300,1339,177,873.5,153.3,12,0.9,79.8,11.4,3.5
55079185400,859,31,873.5,98.3,38,12.8,0,93.9,1.7
55079070300,1289,92,873.5,147.6,17,2.7,62.4,15.3,4.9
55079017900,933,51,873.5,106.8,17,1.6,75.2,7.6,8.1
55079160100,1039,92,873.5,118.9,32,3,58.6,7.2,7.5
55079009200,910,59,873.5,104.2,65,15.4,27,60.9,5.2
55079000301,1019,355,873.5,116.7,1,4.2,100,0,0
55079080200,1059,63,873.5,121.2,13,1.2,90.7,6,3.1
55079009400,1010,80,873.5,115.6,6,1.5,51,37.8,11.2
55079015700,746,64,873.5,85.4,49,6.6,13.1,18.9,66.1
55079006000,903,42,873.5,103.4,108,15.6,4.8,88.3,6.1
55079009000,875,48,873.5,100.2,69,12.6,5.1,90.7,1.1
55079120201,1073,38,873.5,122.8,18,2,86,6,5.9
55079001100,832,34,873.5,95.2,70,8.9,9.1,83.8,0
55079021600,851,90,873.5,97.4,6,1.4,50.7,1.4,19.8
55079008800,797,76,873.5,91.2,87,18,5.4,90.5,1
55079011000,752,82,873.5,86.1,60,3.6,66.9,16.2,7.7
55079011100,884,136,873.5,101.2,13,1.6,78.7,7.7,6
55079016600,779,60,873.5,89.2,37,7.4,25,20.6,52.7
55079186100,500,131,873.5,57.2,54,9,4.3,84,2.7
55079006600,819,54,873.5,93.8,76,15.7,3.9,88,3.9
55079001800,849,111,873.5,97.2,110,18.6,0,91.4,8.6
55079120101,1175,102,873.5,134.5,7,0.8,85.8,3.6,4.9
55079019000,876,67,873.5,100.3,27,4.7,37.2,15.3,40.4
55079006800,782,68,873.5,89.5,80,12.8,3.4,95.7,1.4
55079000102,957,52,873.5,109.6,180,22.2,12.5,79.4,8.1
55079101600,738,149,873.5,84.5,12,2,75.5,9.7,12.9
55079005600,961,44,873.5,110,3,1.2,69.3,12,7.9
