geoid,tract_name,county,state,variable,med_rent,moe,cty_med_rent,pct_med_rent,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_latinx
55079007000,Census Tract 70,Milwaukee County,Wisconsin,B25064_001,859,41,873.5,98.3,01/11/2022,80,0.0842105263157895,0.202806690149059,0.777351247600768,0.0905263157894737,0.845263157894737,0.0389473684210526
55079003300,Census Tract 33,Milwaukee County,Wisconsin,B25064_001,814,42,873.5,93.2,01/11/2022,122,0.129649309245484,0.202806690149059,0.931818181818182,0.0903294367693942,0.804463336875664,0.0329436769394261
55079006100,Census Tract 61,Milwaukee County,Wisconsin,B25064_001,920,84,873.5,105.3,01/11/2022,60,0.14018691588785,0.202806690149059,0.840220385674931,0.088785046728972,0.773364485981308,0.0864485981308411
55079006400,Census Tract 64,Milwaukee County,Wisconsin,B25064_001,789,63,873.5,90.3,01/11/2022,65,0.1625,0.202806690149059,0.632183908045977,0.065,0.935,0
55079014800,Census Tract 148,Milwaukee County,Wisconsin,B25064_001,707,53,873.5,80.9,01/11/2022,105,0.1278928136419,0.202806690149059,1.19638826185102,0.362971985383678,0.421437271619976,0.0779537149817296
55079186400,Census Tract 1864,Milwaukee County,Wisconsin,B25064_001,754,165,873.5,86.3,01/11/2022,5,0.0171821305841924,0.202806690149059,2,0.577319587628866,0.22680412371134,0.154639175257732
55079000201,Census Tract 2.01,Milwaukee County,Wisconsin,B25064_001,904,63,873.5,103.5,01/11/2022,346,0.221652786675208,0.202806690149059,1.3672182821119,0.208840486867393,0.596412556053812,0.180653427290199
55079185600,Census Tract 1856,Milwaukee County,Wisconsin,B25064_001,689,75,873.5,78.9,01/11/2022,54,0.106299212598425,0.202806690149059,0.867507886435331,0.102362204724409,0.864173228346457,0.0334645669291339
55079013700,Census Tract 137,Milwaukee County,Wisconsin,B25064_001,683,34,873.5,78.2,01/11/2022,109,0.169254658385093,0.202806690149059,1.18534482758621,0.107142857142857,0.75776397515528,0.0559006211180124
55079035100,Census Tract 351,Milwaukee County,Wisconsin,B25064_001,1875,270,873.5,214.7,01/11/2022,0,0,0.202806690149059,0.833333333333333,1,0,0
55079091100,Census Tract 911,Milwaukee County,Wisconsin,B25064_001,1105,71,873.5,126.5,01/11/2022,4,0.0168067226890756,0.202806690149059,0.806451612903226,0.840336134453782,0.100840336134454,0.0588235294117647
55079080300,Census Tract 803,Milwaukee County,Wisconsin,B25064_001,1022,276,873.5,117,01/11/2022,1,0.00387596899224806,0.202806690149059,1.11111111111111,0.945736434108527,0,0.0271317829457364
55079021500,Census Tract 215,Milwaukee County,Wisconsin,B25064_001,950,258,873.5,108.8,01/11/2022,3,0.0225563909774436,0.202806690149059,1.11111111111111,0.842105263157895,0.157894736842105,0
55079005000,Census Tract 50,Milwaukee County,Wisconsin,B25064_001,885,44,873.5,101.3,01/11/2022,77,0.0663793103448276,0.202806690149059,1.10169491525424,0.0853448275862069,0.899137931034483,0
55079005400,Census Tract 54,Milwaukee County,Wisconsin,B25064_001,879,83,873.5,100.6,01/11/2022,549,0.839449541284404,0.202806690149059,19.6428571428571,0.58256880733945,0.359327217125382,0.0519877675840979
